__label__mpos	Dauerhaft muss der Radweg auf die Straße.	12094
__label__premise	Auf dem gesamten Teilstück liegt die Fahrbahn höher als der Radweg.	17644
__label__mpos	Ortskern für reinen Durchgangsverkehr unattraktiv machen.	13670
__label__premise	Allerdings ist die Schranke schlecht geschaltet, so dass es zu Warzeiten von im Extremfall über 5 Minuten kommt (wenn z.B. zwei entgegenkommende Züge abgewartet werden müssen).	12175
__label__non-arg	Ich muss zwischen den fahrenden oder haltenden Autos durchfahren.	17739
__label__mpos	Sanierung der Gehwege	14859
__label__non-arg	ein Radweg auf dem Fußweg	10790
__label__non-arg	Hier geht das sogar ganztägig!!!!	13063
__label__premise	Kurz vorher befindet sich eine Bushaltestelle.	2130
__label__premise	Durchgang oft von Autos zugeparkt	13387
__label__mpos	Deshalb hoffen wir laut Gutachten, das der Bahnübergang Crön geschlossen wird.	14781
__label__premise	Eine wichtige Radwegeverbindung von Ehrenfeld in den Stadtbezirk Lindenthal.	11953
__label__mpos	Einbahnstraßen einseitig beparken	12619
__label__premise	Laut der Bodenmarkierung darf man an der Fahrradampel nur geradeaus (in Richtung Homberg) fahren.	17085
__label__mpos	Aufbruchgenehmigungen nur zeitlich (kurze Zeiträume) begrenzen, auf Bauaktivität prüfen und die Verkehrssicherung prüfen.	14523
__label__mpos	Bitte Kurve beleuchten	2292
__label__non-arg	Rechts vor links auch unter Fahrradfahrern	8723
__label__premise	Tritt danach kein Scheefall mehr auf, bleibt der Schnee liegen und vereist bis er langsam weggetaut ist.	3690
__label__premise	Dieses Teilstück des Promenadenweges neigt dazu, durch vom Hang kommendes Wasser ausgespült zu werden.	8946
__label__mpos __label__premise	Entfernung der lebensgefährlichen schräg längs zum Radweg verlaufenden Rille in der Fahrbahn an der Rampe Viktoriabrücke Richtung Weststadt.	67
__label__mpos	direkter Zugang zu Gleis 1	5687
__label__premise	Seit einiger Zeit gibt es auf diesem Weg leider sehr viele Schäden!	7677
__label__premise	Straße hoch zum Venusberg ist katastrophal, kein vernünftiger Radweg	11281
__label__premise	Zum Schaden der Fahrradfahrer, die immer wieder abgedrängt werden.	4796
__label__premise	Ich selber erlebte jedoch mehrfach grössere Gefahrensituationen, weil Autofahrer mit zu hoher Geschwindigkeit in diesen Bereich einfahren, der zudem durch rechts (siehe Bild) im Unterführungsbereich parkende Autos nur links durchgängig ist.	5985
__label__premise	Das ist hier absolut gefährlich.	4986
