id;description;C2A
855115507860207;"Servus , ich erkläre mal warum wir am Montagabend nach Dresden gehen ,
und nicht auf Gewalt oder sonst einen extremen Scheiß stehen.

Wir sind Mündige Bürger und keine Sklaven Die alle 4 J. das kleinere Übel wählen dürfen von dieser SCHEISSE.

Ich möchte nicht irgendwann in einem totalitären autokratischen Staat erwachen und mir dann vorwerfen müssen,
ich hätte nicht alles unternommen, um einen solchen zu verhindern
( wie es war von 1933 bis 45 , und alle schauten weg)
. Ich bin erzogen, Anderen, vor allem Schwächeren und Hilfsbedürftigen, zu helfen, aber auch alle Dinge kritisch zu hinterfragen und nicht als gottgegeben anzunehmen ( darum Bürgerdemokratie).
Vielleicht bin ich damit zu kritisch und stelle politisch Korrekten manchmal unangenehme Fragen, aber deswegen bin ich gerade aufgrund meiner Aufgeklärtheit wohl einer der größten und gefährlichsten Gegner von Extremisten, weil man mich nicht einfach manipulieren kann.

Ich mag keine HALBEN SACHEN UND ICH WERDE ETWAS DAGEGEN TUN .

gez. Berl";True
1055264327845323;Wieso können Afrikaner nicht einfach mal verhüten???Man kann doch keine haufenweise Kinder in die Welt setzen und null finanzielle Ausstattung haben?Die werden dann alle krank und sterben. China hat es richtig gemacht mit ihrer ein Kind politik.schaut euch an wo sie wirtschaftlich nun stehen! Alle mal sterilisieren. Sry aber ist doch so;True
876303912408033;"Die Arbeitsagentur hat - zumindest teilweise - recht: Deutschland hat keinen Bedarf an arbeitsunwilligen, analphabetischen, religiös fanatischen und mittellosen ""Fachkräften"" ohne jede berufliche Qualifikation, denen es nur darum geht, in die deutschen Sozialtransfersysteme einzuwandern und die in keiner Weise bereit sind, sich in ihr Gastland zu integrieren.";False
962625767109180;Bis jetzt noch nicht... na ja, das gab es schon häufiger. Leider...;False
861967357175022;"Das Volk ;)";False
1057559687615787;Bei 1000 am Tag ist 127 ne echte Masse??;False
876270045744753;"Das allerdreisteste ist der Satz: ""Die Deutschen werden weniger, aber dafür bunter""
Merken die eigentlich noch was. Das ist doch mutwillige Ausrottung der Deutschen. Nichts anderes.";False
1134742193230869;Was soll das denn???;False
855002777871480;"Hallo Orgateam, super Video! ...macht weiter so ;-) !!!";False
1064098036961952;Haha da hat sich ja die Hamburger Morgenpost ein Eigentor geschossen.;False
1012244032147353;Als ob es wirklich so abwegig wäre.;False
862115850493506;Hab doch nochmal meinen Cousin Murad gefragt- der hat tatsächlich schon von PEGIDA gehört. Findet euch aber doof.;False
882825555089202;Ja, zum kotzen... is direkt bei mir an meiner Arbeitsstelle und bei uns im Geschäft gibts auch ständig Reibereien und von den ganzen Diebstahlversuchen will ich gar nicht erst reden!!!;False
1111361352235620;Bei mir würden die gar nix bekommen und schwupps wären die meisten wieder weg .Aber der bekloppt deutsche Staat zahlt und zahlt......;False
945884345449989;Mancher Münchener wird sich nun denken: Ich hätte doch mal lieber die NPD und BIA wählen sollen.;False
888042754567482;wie kann man so tief sinken und sich für den Front Nation aussprechen. Der Front Nation will z.B. auch mehr gegen Deutschland vorgehen. Macht mal eure Augen auf.;True
935257966512627;ab auf dem Esel,nach Hause mit dem ISLA(H)M PACK !!!;True
862015220503569;Ahoi Thomas. Onkel Mohammad kennt euch aber auch nicht...;False
989237954447961;"Pegida hat das ganze doch erst ins Rollen gebracht, Pegida und Jetzt auch Mr. Putin ""versucht""wenigstens was zu erreichen, diese medienhaie,lügenpressen etc wollen den ganzen Scheisse nur schön reden !!!! ??";False
982647728440317;der punkt , und der plan ...sowas kann man mit betriebsblinheit nicht mehr entschuldigen , das ist schon dummheit oder besser wahnsinn. danke politik....was man über euch mal in den analen der geschichte lesen wird , möchte ich nicht wissen......;False
1018200344885055;Lieber Erwin Müller,  Sie können jederzeit jede Kirche völlig kostenfrei nutzen und Ihrem Glauben nachgehen.;False
1096062113765544;sieht dort nicht so aus!;False
882779008427190;"Ihr seid doch ni sauber! Ich bin mit Sicherheit keine ""Kommt-alle-nach-Dtl.-hier-habt-ihr-es-gut-Freundin"", aber überlegt Ihr Euch mal, was Ihr hier von Euch gebt??? Erbärmlich!";True
991241707580919;Die Kollegen aus Riesa/Meissen sind dabei ??????;False
983026578402432;Amel Bajraktarevic Auch so eine Klugscheißerin oder Klugscheißer?;False
985444401493983;Aber die sind ja alle total traumatisiert und würden sowas niemals nie tun...;False
876590835712674;Wenn es sich um Euren Treffpunkt der Kundgebung handelt !  Dann ist das eine Taktik der Gutmenschen.;False
1012263098812113;Den Dresdner Christstollen werden sie wohl auch bald umbenennen um die Gefühle der Muslime nicht zu verletzen. Sie könnten doch auch gleich als Zeichen der Demut, Hingabe und Unterwerfung ihre minderjährigen Töchter den Flüchtlingen zur Verfügung stellen? Diese unterwürfige Haltung wird von den Flüchtlingen nur als eine Schwäche der Deutschen gedeutet. Sie werden keinen Respekt haben und keineswegs bemüht sein sich zu integrieren. Wer hat denn vor solchen Schwächlingen und Weicheiern Respekt?;False
1038624566175966;Ja du kommst damit sofort in den Knast, es sei den du bist Flüchtling dann wird das verharmlost!;False
1055077381197351;Ups, haben wir noch so viele Luftballons am Lager?;False
991239317581158;mitmachen;True
1063674723670950;LÜGENPRESSE! LÜGENPRESSE!;False
957890040916086;kein Problem ,habe ihn zufällig gefunden (In FB) Teilen des Videos wäre super.;True
1134777503227338;Hat ja wohl nich mehr alle Latten am Zaun...;False
982680738437016;Ausgerechnet von euch ostdeutschen kommen Forderungen wie Grenzen dicht...   Nichts aus der Geschichte gelernt?  Stroh im Kopf?  Geh zu pegida!;True
862038833834541;das will cih doch hoffen. auch wenn die da oben uns nicht hören und sehen können/wollen sind wir dennoch hier.;False
945830805455343;Warum so wenige ?;False
1035119489859807;Der absolute Wahnsinn!;False
