id;description;DBO
985439194827837;nein patrioten;nothing
1098;Meine Ehre heißt Treue! Wir müssen immer an unsere Ehre denken!  #UnsereEhreHeißtTreue;agitation
862088640496227;"Halte dich an deine eigenen Ratschläge, dann wird es nächstes Mal vielleicht was ;-)";nothing
982682751770148;Richi Putnik es gibt aber Gerichtsurteile wie Asylbewerber in Deutschland zu behandeln sind und die sind unumstößlich und sollte das eine regierung trotzdem versuchen, klagen wir es wieder ein;nothing
985718668133223;Holger Bommel,meine vorherige Antwort ...... na dann beten........ ,, galt auch Fräulein Naumann.  Tolle Antwort Holger  ????????????????????????;nothing
1105730682798687;Der Widerstand wird hoffentlich so groß sein,das keine Moschee gebaut wird. Es wurden eh schon genug gebaut. Die Moslems können zu Hause beten,aber nicht noch weiter unser schönes Deutschland mit islamischen Bauten verschandeln.;criticism
982911475080609;Immer noch wie in der 2. Klasse. Erstmal über Nachnamen lustig machen wenn man nicht mehr weiter weis. Achso, sie haben ja gar nicht die 2. Klasse geschafft. Ich vergaß :D;nothing
1121609247877497;"Die Politik von CDU, SPD und GRÜNEN wird in einen Krieg führen, weil sich die Bevölkerung nicht länger für dumm verkaufen lässt.

Seit 30 Jahren predigen diese Versager Wein und liefern nichts als Essig. 

Aber damit nicht genug, beschimpfen sie ausnahmslos jede Opposition als Rechte, als Nazis, als Zerstörer des Sozialstaates.";criticism
855046461200445;Achso, ich vergaß, natürlich mit dem Rücken zur Bühne;nothing
985376324834124;Mir tut es gut, meine alte Heimat Dresden kämpfen zu sehen. Danke Pegida, danke euch allen. Macht weiter, lasst euch nicht unterkriegen. Ihr seit die Hoffnung vieler Deutscher. Viele Grüße aus dem Allgäu.;nothing
1052581034780319;na hat der sich mit 15000 teilnehmer verschätz, das werden bestimmt viel mehr...allein in der montagsdemo waren schon ca 35000 teilnehmer dabei;nothing
1068;Meine Ehre heißt Treue 🖤;agitation
887995011238923;Madame Ikari, das hatten die Franzosen vorher schon.;nothing
887994287905662;Leute schaut euch die Zeichen an... Das war ironisch gemeint.;nothing
945434418828315;Das schon, aber wenn das Volk richtet, soll Gott Gnade walten lassen. Und das tu ich gern!;nothing
1597;@Evelynspringer4 @Wosch94 Linker Abschaum;nothing
