id,year,context,target,task_a_label,task_b_label,task_b_stdev
59d,2017,"Mithilfe der verlagseigenen Nachhaltigkeitsmanagement-Methode „N-Kompass“ hat das Team an der Analyse und Erstellung einer Nachhaltigkeitsstrategie gearbeitet. Dazu wurden alle Verlagsbereiche und nachhaltigkeitsrelevanten Themen in ihrer Tiefe analysiert und bewertet, um anschließend eine Priorisierung auf wesentliche Themen vornehmen zu können. Zentrale Handlungsfelder der Nachhaltigkeitsstrategie von [ORG] sind: Nachhaltigkeitsmanagement & Umsetzung, Kommunikation & Interessengruppen, Klima & Ressourcen, Lieferanten, Kunden und Gesellschaft.","Über die Ergebnisse und abgeleiteten strategischen Maßnahmen (siehe Kriterium 2 ""Wesentlichkeit"") berichtet das Team in regelmäßigen Abständen an die Geschäftsführung, die ihrerseits gewährleistet, dass die strategischen Nachhaltigkeitsthemen zur Unternehmensstrategie konsistent sind und dort integriert werden.",1,0.3333333333,0.0
183d,2017,"Teil der Strategie sind Managementansätze mit Zielen, Indikatoren und dazugehörigen Maßnahmen für jedes Handlungsfeld. Die Ziele aus den Managementansätzen finden Sie in Kriterium 3, die Indikatoren in Kriterium 7. Für jedes der sechs Handlungsfelder formulierten wir zudem konkrete Maßnahmen, mit denen wir unsere Ziele erreichen möchten.","Diese sind auf die einzelnen Ziele und Indikatoren zugeschnitten, um unsere Nachhaltigkeitsleistung zielgerichtet verbessern zu können.",1,0.6666666667,0.0
212d,2017,"Über die Digitalisierung nahezu sämtlicher Unterlagen (bspw. Kunden-, Kontenunterlagen, Kreditakten) und die Anpassung der entsprechenden Prozesse (bspw. elektronische Unterschrift) konnte massiv an Papier eingespart werden (siehe Kriterium 12). Über ein Tochterunternehmen, der ""[ORG]"", wird ein eigenes Blockheizkraftwerk betrieben. Das [ORG] wird somit, wirtschaftlich als auch ökologisch sinnvoll, kostengünstig mit Strom und Wärme versorgt.",Bei eigenen Neubauten und bereits im Bestand befindlichen Objekten werden stets energetische Aspekte und Ressourceneffizienz berücksichtigt (siehe Kriterium 13).,2,0.6666666667,0.0
179d,2017,Weiterhin hat [ORG] ein Nachhaltigkeitsmanagementsystem implementiert. Wie unter Leistungsindikatoren zu Kriterium 9 (G4) aufgeführt wurden im Zuge der Wesentlichkeitsanalyse folgende Aspekte als wesentlich eingestuft: Bisher wurde noch keine Risikoanalyse zur Erfassung der Chancen und Risiken bzgl. der sozialen und ökologischen Aspekte durchgeführt.,Diese wird im Zusammenhang mit der Revalidierung im Sommer 2018 durchgeführt werden.,2,1.0,0.0
256d,2017,"Bereits in den vergangenen Jahren haben wir unser Eigenkapital sukzessive aufgestockt. Die regulatorischen Anforderungen, aber auch unsere betriebswirtschaftliche Vorsicht, treiben uns an, unser Eigenkapital auch weiterhin zu erhöhen. Unseren öffentlichen Auftrag nachhaltig zu erfüllen, das ist und bleibt unser oberstes Ziel.","Um das zu erreichen, benötigen wir eine stabile und langfristig tragfähige betriebswirtschaftliche Basis.",3,0.3333333333,0.0
156d,2017,"Nur in Einzelfällen erfahren wir, ob diese zu mehr Nachhaltigkeit führen. Wir nehmen systematisch in Kundenzufriedenheitsbefragungen auf, was unsere Kunden uns zurückspiegeln und was wir aus Kundensicht mit unserer Arbeit erreichen. Jedoch bieten die Befragungen uns keine ausreichende Basis, um Zielgrößen für unsere Arbeit in diesem Sinne zu formulieren.","[ORG] strebt an, weiterhin eine kleine flexible Agentur mit hoher inhaltlicher Kompetenz zu bleiben.",3,0.3333333333,0.0
235d,2017,"Dieser Nachhaltigkeitsbericht zum Geschäftsjahr 2017 ist der erste, den die [ORG] er-stellen. Da es keine dokumentierten Vergangenheitswerte gibt und der [ORG] bisher die Erfahrung fehlt, um diese Daten einschätzen zu können, konnten bisher noch keine Nachhaltigkeitsziele definiert werden. Auf Basis des ersten Nachhaltigkeits-Berichts will die [ORG] aber konkrete qualitative und quantitative Nachhaltigkeitsziele festlegen.",Die [ORG] wird in 2018 den Nachhaltigkeits-Strategieprozess starten.,3,0.0,0.0
2d,2017,"Die durch Kundenbefragungen belegte, wachsende Zufriedenheit unserer Kunden mit den Produkten und Serviceleistungen der [ORG] bestätigt die Wirksamkeit unseres [ORG]-Beschwerdemanagement-Systems. Falls es doch einmal zu Unstimmigkeiten mit Kunden kommt, greifen wir als Versicherer auf Streitschlichtungsverfahren zurück. So bietet z. B. die Institution des [ORG] der PKV ([ORG]) die Möglichkeit, Meinungsverschiedenheiten einvernehmlich ohne ein Gerichtsverfahren zu schlichten.",Der [ORG] soll in jedem Stadium des Verfahrens zwischen den Beteiligten vermitteln und eine Versöhnung erreichen.,4,0.3333333333,0.0
268d,2017,"In den Beratungsgesprächen wird die Komplexität von Finanzprodukten erklärt, um den Kunden die Chance zu geben, Finanzprodukte nach ihrem Bedürfnissen zu erhalten. Hierfür bilden wir unsere Mitarbeiter konsequent weiter. Wir refinanzieren uns hauptsächlich über unsere Einlagen oder im Interesse unserer Kunden bei Förderbanken.",Von spekulativen Geschäften ohne realwirtschaftliche Hintergründe distanzieren wir uns konsequent.,4,0.6666666667,0.0
184d,2017,"Zulieferer: Die Materialien beziehen wir einer kleinen Anzahl chinesischer Lieferanten, mit denen wir eng zusammenarbeiten. So können wir auf die Einhaltung von Mindeststandards im Mitarbeiter- und Umweltschutz einwirken, das Knowhow gemeinsam aufzubauen und weiterentwickeln (z.B. [ORG]). Stufe Logistik & Operatives Geschäft: Wir achten auf Nutzung von GoGreen- und vergleichbaren Diensten und nutzen GreenIT.",Stufe Produktion: Wir verbrauchen Ressourcen und Rohstoffe.,4,0.3333333333,0.0
