id	year	context	target	task_a_label	task_b_label	task_b_stdev
1t	2017	Prävention Über das Kerngeschäft „Versicherung“ hinaus fühlt sich die [ORG] in besonderem Maße der Förderung der Sicherheit der Bevölkerung verpflichtet. Dabei ist die Entwicklung von Sicherheitssystemen und -standards und deren Verbreitung in der Öffentlichkeit ein wesentliches und prägendes Merkmal.	Die [ORG] arbeitet hier eng mit den relevanten Institutionen und Einrichtungen (öffentliche Verwaltung, Feuerwehren, Fach- und Branchenverbände etc.) zusammen.	18	0.6666666666666666	0.0
2t	2021	Rostascheaufbereitung Die [ORG] wurde im Jahr 2003 als 100-prozentige Tochtergesellschaft der [ORG] gegründet. Diese betreibt für die [ORG] am Standort Korzert eine moderne Rostascheaufbereitungsanlage, in der die Rostasche behandelt wird, die bei der Verbrennung des Restmülls in der [ORG] entsteht.	Die Rostasche beinhaltet über 10 Prozent wiederverwertbare Wertstoffe wie z. B. Eisen, Kupfer und Aluminium.	4	1.0	0.0
3t	2020	Da Nachhaltigkeit für uns eine hohe Priorität hat, liegt die oberste Verantwortung dafür bei der Vorständin der [ORG]. Sie steuert die Aktivitäten in enger Abstimmung mit den Bereichs- und Stabstellenleitungen und schafft im Unternehmen die organisatorischen Voraussetzungen für ihre erfolgreiche Umsetzung. Die Handlungsfelder der Nachhaltigkeit sowie die daraus abgeleitete Nachhaltigkeitsstrategie (Ziele, Indikatoren und Maßnahmen) wurden gemeinsam mit Fach- und Führungskräften aus unterschiedlichen Bereichen der [ORG] entwickelt.	Somit tragen alle Bereiche zur Nachhaltigkeitsstrategie der [ORG] bei.	5	0.3333333333333333	0.0
4t	2019	Als regionale Folge des Klimawandels haben wir aktuell vermehrt Starkregen, Hochwasser sowie Hitzeperioden identifiziert. Durch die kontinuierliche Verbesserung unserer Umweltwirkung können wir einen positiven Klimabeitrag leisten. Uns ist bewusst, dass der Klimawandel auch Auswirkungen auf unser Geschäftsmodell haben kann.	Aus diesem Grund befassen wir uns unternehmensübergreifend im Netzwerk mit anderen Instituten mit den damit verbundenen Chancen und Risiken sowie dem daraus resultierenden Handlungsbedarf.	2	0.3333333333333333	0.3333333333333333
5t	2018	Im Rahmen des Umweltprogramms sind zudem alle Standorte verpflichtet, kontinuierlich an der Verbesserung ihrer Umweltleistungen zu arbeiten. Im Berichtszeitraum stand dabei übergreifend an allen Standorten das Thema Mobilität im Mittelpunkt. In den einzelnen Gesellschaften und an allen Standorten sind Personen benannt, die für die Aufrechterhaltung interner und rechtlicher Arbeitssicherheitsstandards verantwortlich sind.	Bei allen Fragen der arbeitsmedizinischen und arbeitssicherheitstechnischen Betreuung, beispielsweise im Rahmen der Online-Gefährdungsbeurteilung, wird [ORG] durch externe Dienstleister unterstützt.	6	1.0	0.0
6t	2019	Diese Ziele werden anschließend in Abhängigkeit von Position und Aufgabenbereich der jeweiligen Führungskräfte individuell im jährlichen Mitarbeitergespräch auf die nächsten Führungsebenen übertragen. Klar definierte Nachhaltigkeitsziele sind fester Bestandteil der jährlich getroffenen Zielvereinbarungen und werden dementsprechend protokolliert und realisiert. Dies gilt auf allen Führugsebenen.	Die ökologisch nachhaltige Unternehmensstrategie wird vom Beirat der [ORG] für die oberste Führungsebene vorgegeben.	8	0.6666666666666666	0.0
7t	2019	Einerseits sind wir vor die Aufgabe gestellt, die Steuerung von Nachhaltigkeitsrisiken im Rahmen der bestehenden Risikoarten in das Risikomanagement sowie in die Gesamtbanksteuerung zu integrieren. Dieser Anforderung werden wir im Rahmen der Weiterentwicklungen der [ORG] gerecht werden. Andererseits eröffnen sich im Bereich der Produktentwicklung neue Chancen für die Finanzierung nachhaltiger Aktivitäten von Unternehmen, von Privatkunden und auch von kommunalen Kunden.	Hier können wir als regionales Kreditinstitut in Zusammenarbeit mit unseren Anspruchsgruppen aus der Region passgenaue Produktangebote entwickeln, die regionale Nachhaltigkeitsprogramme fördern oder ermöglichen.	4	0.3333333333333333	0.0
8t	2019	Die [ORG] nimmt Stellung zu allen für sie relevanten Gesetzgebungsinitiativen und nimmt dazu durch ihre Vertreter*innen an [ORG] und Fachgesprächen teil. Das [ORG] in Berlin nimmt in enger Zusammenarbeit mit der [ORG] (derzeit [ORG]) die Interessen der [ORG] auf Bundesebene wahr und spricht in diesen Zusammenhängen für die gesamte [ORG]. Das [ORG] in Brüssel hält die Rundfunkanstalten über aktuelle Entwicklungen und Gesetzgebungsvorhaben der europäischen Institutionen auf dem Laufenden und vertritt dort die Interessen der [ORG], bringt Stellungnahmen ein und spricht mit Verantwortlichen in Parlament, Kommission und Rat.	Zudem gibt die [ORG] Studien und Gutachten in [ORG], um politische Vorhaben zu begleiten oder anzustoßen, die auf die [ORG] und Weise der Erfüllung ihres öffentlichen [ORG] einen Einfluss haben.	19	0.5	0.16666666666666666
9t	2018	Standardisierte Prozesse unterstützen dabei, die Kunden optimal zu beraten und auf einen ressourcenschonenden Umgang mit Verbrauchsmaterialien zu achten. Die [ORG] führt regelmäßige Befragungen bei Neukunden und Bestandskunden für verschiedene Segmente durch, deren Ergebnisse helfen, Produkte und Dienstleistungen anzupassen und die eigene Arbeit aus Kundenperspektive zu reflektieren. Ebenso trägt die Bewertung der internen Lieferanten- und Leistungsbeziehungen (Interne Kundenbefragung) in der [ORG] dazu bei, die Arbeitsqualität und die Arbeitsabläufe auf Abteilungs- oder Gruppenebene zu beleuchten und damit verbundenes Verbesserungspotential zu heben.	Hier finden sich weitere Chancen, das Thema Nachhaltigkeit in Bezug auf die Optimierung von Arbeitsabläufen regelmäßig zu kontrollieren und Verbesserungen umzusetzen.	6	0.0	0.0
10t	2019	Ergänzend wurden in 2019 Führungsgrundsätze für das Unternehmen verabschiedet. Diese stehen unter der Botschaft "Wir definieren Führung als Beruf der Wirksamkeit". Alle Führungskräfte waren am Prozess beteiligt.	Ziel ist ein gemeinsames und einheitliches Verständnis von Führung im gesamten Unternehmen.	6	0.3333333333333333	0.0
